Title,Subtitle,Time
特技玩家,THE FALL GUY,2024-04-26
劇場版 排球少年!! 垃圾場的決戰,HAIKYU THE DUMPSTER BATTLE,2024-04-12
哥吉拉與金剛：新帝國,GODZILLA X KONG THE NEW EMPIRE,2024-03-27
功夫熊貓4,KUNG FU PANDA 4,2024-04-04
特別總集篇 名偵探柯南 VS. 怪盜基德,DETECTIVE CONAN COMPILATION FILM DETECTIVE,2024-03-29
破墓,EXHUMA,2024-03-08
機動戰士鋼彈SEED FREEDOM,MOBILE SUIT GUNDAM SEED FREEDOM,2024-04-19
音樂劇《刀劍亂舞》～陸奧一蓮～現場直播,LIVE VIEWING OF TOUKEN RANBU THE MUSICAL MICHINOOKU HITOTSUHACHISU,2024-05-06
aespa：WORLD TOUR IN CINEMAS,aespa WORLD TOUR IN CINEMAS,2024-04-10
SUGA AGUST D TOUR D DAY THE MOVIE,SUGA AGUST D TOUR D DAY THE MOVIE,2024-04-10
莎莉,SALLI,2024-04-03
噬血芭蕾,ABIGAIL,2024-04-19
非紳士特攻隊,THE MINISTRY OF UNGENTLEMANLY WARFARE,2024-04-19
神鬼對決,TROLL FACTORY,2024-04-19
怪物樵夫,LUMBERJACK THE MONSTER,2024-04-19
給我愛過的前任們,THE EX PERIENCE OF LOVE,2024-04-19
孤島診療所2022,DR COTOS CLINIC 2022,2024-04-19
在路上男情難未了,ON THE GO,2024-04-19
盜墓奇美拉,LA CHIMERA,2024-04-19
日安，朵朵,SIDONIE IN JAPAN,2024-04-19
